Old_TSN,Old_Name,New_TSN,New_Name
0,Afghanurus,100504,Afghanurus
0,Afghanurus criddlei,100504,Afghanurus criddlei
0,Anafroptilum,100755,Anafroptilum
0,Arctopsyche Grandis Group,115530,Arctopsyche grandis
0,Baetis flavistriga complex,100800,Baetis flavistriga complex
0,Baetis piscatoris complex,100814,Baetis piscatoris complex
0,Baetis tricaudatus complex,100817,Baetis tricaudatus complex
0,Bilyjomyia algens,127917,Bilyjomyia algens
0,Chamaedrilus,68510,Chamaedrilus
0,Cystobranchus salmositicus,69339,Cystobranchus salmositicus
0,Dicranomyia,119704,Limonia
0,Dicranophragma,118831,Dicranophragma
0,Eloeophila,120030,Eloeophila
0,Ephemerella Excrucians Group,101276,Ephemerella excrucians Group
0,Galba,76483,Galba
0,Glossiphonia elegans,69380,Glossiphonia elegans
0,Helodon,126640,Helodon
0,Holorusia hespera,118890,Holorusia hespera
0,Kogotus/Rickera,609866,Kogotus/Rickera
0,Labiobaetis sonajuventus,568552,Labiobaetis sonajuventus
0,Limoniidae,118831,Limoniidae
0,Monatractides,83249,Monatractides
0,Naidinae,68509,Naidinae
0,Neoleptophlebia,101095,Neoleptophlebia
0,Oregonacarus,83531,Oregonacarus
0,Oropuella,128457,Oropuella
0,Orthocladiinae sp. RAI # 0001,128457,Orthocladiinae sp. RAI # 0001
0,Paraleptophlebia Bicornuta Group,101206,Paraleptophlebia bicornuta Group
0,Pericoma/Telmatoscopus,125391,Pericoma/Telmatoscopus
0,Pericomaini,125391,Pericomaini
103135,Perlinodes aureus,103134,Perlinodes aureus
0,Platyhydracarus,,Platyhydracarus
64358,Polychaeta,914166,Polychaeta
0,Potthastia Gaedii Group,128408,Potthastia gaedii Group
0,Potthastia Longimanus Group,128408,Potthastia longimanus Group
0,Psychodini,125391,Psychodini
0,Rhabdomastix Fascigera Group,120968,Rhabdomastix fascigera Group
0,Rhabdomastix Setigera Group,120995,Rhabdomastix setigera Group
0,Rhyacophila Angelita Group,115097,Rhyacophila angelita Group
0,Rhyacophila atrata complex,115097,Rhyacophila atrata Group
0,Rhyacophila Basalis Group,115100,Rhyacophila basalis
0,Rhyacophila Betteni Group,115097,Rhyacophila betteni Group
0,Rhyacophila Brunnea/Vemna Groups,115097,Rhyacophila brunnea/vemna Group
0,Rhyacophila Coloradensis Group,115097,Rhyacophila coloradensis Group
0,Rhyacophila Grandis Group,115097,Rhyacophila grandis Group
0,Rhyacophila Hyalinata Group,115097,Rhyacophila hyalinata Group
0,Rhyacophila Rotunda Group,115097,Rhyacophila rotunda Group
0,Rhyacophila Vagrita Group,115097,Rhyacophila vagrita Group
0,Rhyacophila Verrula Group,115097,Rhyacophila verrula Group
0,Rhyacophila Vofixa Group,115097,Rhyacophila vofixa Group
0,Suwalliini,609854,Suwalliini
0,Thienemannimyia complex,128078,Thienemannimyia Group
0,Thremmatidae,598162,Thremmatidae
0,Tipuloidea,118833,Tipuloidea
0,Todothyas,895840,Parathyas
0,Tricyphona,121118,Pedicia
0,Truncatelloidea,69459,Truncatelloidea
0,Tubificinae,974289,Tubificinae
0,Tvetenia Bavarica Group,129197,Tvetenia bavarica Group
0,Tvetenia tshernovskii,129197,Tvetenia tshernovskii
0,Zapada Oregonensis Group,102591,Zapada oregonensis Group
